# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# P         : Luchtdruk (in 0.1 hPa) herleid naar zeeniveau; tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation
# STN,YYYYMMDD,HH,    P
  330,20251028,    8,10037
  330,20251028,    9,10040
  330,20251028,   10,10044
  330,20251028,   11,10048
  330,20251028,   12,10048
  330,20251028,   13,10050
  330,20251028,   14,10054
  330,20251028,   15,10057
  330,20251028,   16,10057
  330,20251028,   17,10062
  330,20251028,   18,10066
  330,20251028,   19,10070
  330,20251028,   20,10069
  330,20251028,   21,10069
  330,20251028,   22,10068
  330,20251028,   23,10068
  330,20251028,   24,10065
  330,20251029,    1,10063
  330,20251029,    2,10056
  330,20251029,    3,10055
  330,20251029,    4,10051
  330,20251029,    5,10049
  330,20251029,    6,10041
  330,20251029,    7,10043
  330,20251029,    8,10042
  330,20251029,    9,10038
  330,20251029,   10,10035
  330,20251029,   11,10029
  330,20251029,   12,10020
  330,20251029,   13,10011
  330,20251029,   14,10002
  330,20251029,   15, 9994
  330,20251029,   16, 9990
  330,20251029,   17, 9986
  330,20251029,   18, 9982
  330,20251029,   19, 9974
  330,20251029,   20, 9966
  330,20251029,   21, 9963
  330,20251029,   22, 9958
  330,20251029,   23, 9964
  330,20251029,   24, 9972
  330,20251030,    1, 9986
  330,20251030,    2, 9997
  330,20251030,    3,10008
  330,20251030,    4,10020
  330,20251030,    5,10032
  330,20251030,    6,10040
  330,20251030,    7,10053
  330,20251030,    8,10066
  330,20251030,    9,10078
  330,20251030,   10,10090
  330,20251030,   11,10098
  330,20251030,   12,10103
  330,20251030,   13,10106
  330,20251030,   14,10110
  330,20251030,   15,10110
  330,20251030,   16,10111
  330,20251030,   17,10115
  330,20251030,   18,10118
  330,20251030,   19,10117
  330,20251030,   20,10113
  330,20251030,   21,10113
  330,20251030,   22,10108
  330,20251030,   23,10107
  330,20251030,   24,10106
